,0
970,1329763.25
971,1330650.0
972,1339300.375
973,1334191.625
974,1312799.375
975,1309583.75
976,1313913.875
977,1338976.25
978,1341729.625
979,1343347.0
980,1358973.125
981,1355266.875
982,1346198.0
983,1354909.75
984,1356444.875
985,1354130.875
986,1349290.625
987,1343664.5
988,1349558.125
989,1355547.5
990,1363238.0
991,1363776.5
992,1370116.375
993,1366705.625
994,1364309.625
995,1362311.0
996,1379942.625
997,1393618.25
998,1383849.375
999,1391218.875
1000,1381282.375
1001,1375477.375
1002,1372160.75
1003,1369923.875
1004,1354463.0
1005,1373927.5
1006,1405518.375
1007,1404442.375
1008,1414696.125
1009,1414868.125
1010,1410592.25
1011,1415599.5
1012,1425834.875
1013,1427624.75
1014,1425230.375
1015,1427402.5
1016,1432500.75
1017,1439003.25
1018,1447447.25
1019,1454123.25
1020,1456047.0
1021,1456897.875
1022,1463412.375
1023,1463411.375
1024,1472873.875
1025,1468760.375
1026,1465984.25
1027,1480396.375
1028,1465482.25
1029,1480005.75
1030,1480140.375
1031,1473492.875
1032,1482099.75
1033,1480587.625
1034,1486474.25
1035,1481339.625
1036,1481547.0
1037,1480894.875
1038,1489153.875
1039,1475975.625
1040,1465007.0
1041,1480805.75
1042,1462126.875
1043,1471299.375
1044,1494029.125
1045,1492014.875
1046,1496955.125
1047,1503623.5
1048,1513592.875
1049,1520841.25
1050,1528704.75
1051,1533557.25
1052,1536471.75
1053,1534426.5
1054,1536021.375
1055,1544790.5
1056,1538897.25
1057,1531126.0
1058,1528949.75
1059,1537957.5
1060,1527226.625
1061,1539093.5
1062,1533085.5
1063,1543021.625
1064,1540348.625
1065,1543423.125
1066,1538716.875
1067,1549462.625
1068,1527901.75
1069,1536061.25
1070,1533886.5
1071,1540473.0
1072,1545224.375
1073,1562648.375
1074,1568956.75
1075,1571047.125
1076,1541031.75
1077,1556445.375
1078,1533356.25
1079,1530221.625
1080,1551422.0
1081,1556887.5
1082,1571104.125
1083,1565653.5
1084,1571097.25
1085,1568926.875
1086,1573376.75
1087,1574113.125
1088,1555605.625
1089,1569904.0
1090,1584408.25
1091,1587928.625
1092,1599749.0
1093,1604514.875
1094,1599604.0
1095,1602402.625
1096,1605140.125
1097,1629332.875
1098,1639080.625
1099,1628742.125
1100,1648738.625
1101,1647784.75
1102,1654834.375
1103,1646651.5
1104,1637775.875
1105,1642950.625
1106,1657419.375
1107,1646599.25
1108,1652599.125
1109,1629882.125
1110,1639158.125
1111,1626509.125
1112,1602756.5
1113,1616096.5
1114,1643749.0
1115,1645926.25
1116,1626881.5
1117,1610532.5
1118,1636543.5
1119,1622932.875
1120,1637371.375
1121,1650635.25
1122,1626937.75
1123,1584039.25
1124,1586265.0
1125,1569531.25
1126,1587316.625
1127,1606183.375
1128,1617479.75
1129,1603113.0
1130,1612347.625
1131,1603154.625
1132,1607985.375
1133,1630379.875
1134,1640866.125
1135,1652772.5
1136,1650613.25
1137,1666215.0
1138,1669898.5
1139,1672285.625
1140,1665704.625
1141,1669362.75
1142,1675153.75
1143,1681422.5
1144,1683583.625
1145,1684603.5
1146,1681480.75
1147,1683490.5
1148,1681147.25
1149,1676586.875
1150,1674903.125
1151,1675432.625
1152,1695678.0
1153,1698078.25
1154,1693775.25
1155,1683352.0
1156,1677199.125
1157,1675924.75
1158,1667677.625
1159,1663413.875
1160,1669936.125
1161,1655330.25
1162,1631289.875
1163,1629300.25
1164,1619738.375
1165,1623530.75
1166,1607188.375
1167,1617104.0
1168,1620285.75
1169,1616197.125
1170,1585295.125
1171,1588739.875
1172,1595252.75
1173,1594123.25
1174,1606109.0
1175,1616733.375
1176,1621429.375
1177,1622376.25
1178,1636460.625
1179,1658551.625
1180,1662777.875
1181,1654214.75
1182,1659400.5
1183,1675802.25
1184,1677154.5
1185,1696058.5
1186,1692649.375
1187,1683820.25
1188,1666084.625
1189,1654476.25
1190,1652421.625
1191,1658365.875
1192,1649625.25
1193,1638670.25
1194,1648675.0
1195,1645000.125
1196,1627237.0
1197,1640112.25
1198,1623957.5
1199,1601955.875
1200,1601633.0
1201,1644098.75
1202,1657046.125
1203,1659283.125
1204,1647904.5
1205,1677526.625
1206,1684210.0
1207,1681009.375
1208,1681879.125
1209,1689578.25
1210,1680309.0
1211,1689716.375
1212,1701852.0
1213,1700567.0
1214,1706982.75
1215,1696165.25
1216,1687916.875
1217,1697371.125
1218,1696917.125
1219,1692541.75
1220,1700800.875
1221,1681262.5
1222,1714645.375
1223,1716927.125
1224,1711448.25
1225,1719084.625
1226,1729549.5
1227,1736137.0
1228,1740623.625
1229,1738258.5
1230,1731829.875
1231,1744552.75
1232,1751886.75
1233,1749943.5
1234,1744672.25
1235,1749649.0
1236,1746904.0
1237,1736086.125
1238,1726916.0
1239,1727445.875
1240,1717143.25
1241,1738091.75
1242,1739053.5
1243,1735523.875
1244,1715178.75
1245,1701734.375
1246,1700777.0
1247,1710227.25
1248,1702230.0
1249,1737963.875
1250,1737512.75
1251,1746212.125
1252,1752821.5
1253,1757480.0
1254,1767395.5
1255,1767082.375
1256,1769046.875
1257,1774159.0
1258,1760989.0
1259,1767418.75
1260,1766159.875
1261,1779363.75
1262,1776901.125
1263,1775746.375
1264,1776320.0
1265,1758350.0
1266,1770823.75
1267,1785926.0
1268,1781130.375
1269,1776985.375
1270,1777324.75
1271,1770356.375
1272,1748573.25
1273,1715890.75
1274,1714312.25
1275,1723140.875
1276,1707112.625
1277,1717874.625
1278,1704058.125
1279,1664885.75
1280,1679505.875
1281,1682271.5
1282,1705403.0
1283,1723947.5
1284,1727438.5
1285,1748731.75
1286,1747114.875
1287,1755651.125
1288,1764848.5
1289,1759693.75
1290,1745966.125
1291,1755689.75
1292,1753594.125
1293,1758484.5
1294,1756752.875
1295,1758455.75
1296,1766660.0
1297,1770984.0
1298,1755248.375
1299,1779523.25
1300,1781085.875
1301,1787136.875
1302,1791449.625
1303,1789116.875
1304,1780113.25
1305,1779808.125
1306,1760279.625
1307,1752101.25
1308,1772057.0
1309,1780864.375
1310,1768596.125
1311,1781575.125
1312,1782984.5
1313,1779637.5
1314,1794628.875
1315,1779666.125
1316,1777826.25
1317,1785137.75
1318,1802505.5
1319,1807372.0
1320,1810578.375
1321,1811277.75
1322,1795857.125
1323,1780759.75
1324,1784927.875
1325,1803652.125
1326,1769155.5
1327,1752307.875
1328,1759790.625
1329,1772663.625
1330,1786316.125
1331,1788117.375
1332,1794727.375
1333,1804774.875
1334,1802502.0
1335,1802334.375
1336,1793417.125
1337,1800085.375
1338,1807001.375
1339,1811368.25
1340,1806983.625
1341,1799264.125
1342,1794893.375
1343,1777178.375
1344,1790980.25
1345,1788022.875
1346,1792029.25
1347,1804628.0
1348,1804922.75
1349,1793423.25
1350,1775401.25
1351,1778314.5
1352,1782636.5
1353,1770942.0
1354,1783395.5
1355,1785598.875
1356,1790969.875
1357,1795554.5
1358,1792701.75
1359,1802350.875
1360,1806578.75
1361,1809075.625
1362,1809903.625
1363,1813513.0
1364,1828272.0
1365,1833016.5
1366,1837658.125
1367,1840633.75
1368,1830626.25
1369,1816065.25
1370,1818248.25
1371,1818287.5
1372,1822374.625
1373,1831950.875
1374,1833821.375
1375,1843699.625
1376,1840941.75
1377,1828476.0
1378,1836509.5
1379,1832843.875
1380,1833885.0
1381,1830737.875
1382,1848793.375
1383,1848766.375
1384,1854728.875
1385,1850149.875
1386,1837786.375
1387,1846136.75
1388,1838591.125
1389,1840370.875
1390,1849998.375
1391,1848328.875
1392,1856234.25
1393,1838446.125
1394,1856366.375
1395,1854605.625
1396,1862438.25
1397,1855819.625
1398,1849124.875
1399,1844478.375
1400,1841148.0
1401,1832092.0
1402,1829457.625
1403,1792315.625
1404,1781884.75
1405,1791641.375
1406,1778740.0
1407,1780897.875
1408,1775153.0
1409,1797731.5
1410,1802561.75
1411,1800702.25
1412,1815583.0
1413,1822825.0
1414,1820352.875
1415,1838459.5
1416,1842652.25
1417,1848399.125
1418,1857664.625
1419,1852860.375
1420,1860872.5
1421,1863134.375
1422,1864289.875
1423,1860293.125
1424,1865249.875
1425,1864008.25
1426,1865226.25
1427,1863069.75
1428,1870460.5
1429,1863964.625
1430,1853140.25
1431,1856196.75
1432,1855177.0
1433,1848227.0
1434,1849072.0
1435,1857797.75
1436,1860114.875
1437,1873587.25
1438,1873659.0
1439,1859087.0
1440,1846233.75
1441,1863535.75
1442,1834525.625
1443,1846854.75
1444,1845464.0
1445,1839499.75
1446,1812617.625
1447,1806484.375
1448,1826728.25
1449,1825165.75
1450,1791600.75
1451,1826702.125
1452,1790756.125
1453,1777411.75
1454,1741573.125
1455,1737258.875
1456,1722840.0
1457,1718445.375
1458,1755862.125
1459,1763463.5
1460,1789853.375
1461,1780220.0
1462,1805617.625
1463,1819739.125
1464,1816392.875
1465,1834637.25
1466,1833999.5
1467,1849269.875
1468,1866497.875
1469,1864201.75
