account_value,datadate,daily_return,Date
1051467.3053255326,20190718,-0.010317582722320418,2019-04-16
1050415.838748205,20190719,-0.000999999307636168,2019-04-17
1050415.838748205,20190722,0.0,2019-04-18
1051843.9907944868,20190723,0.001359606351693854,2019-04-22
1050703.2972268658,20190724,-0.0010844702994019517,2019-04-23
1044312.2537938759,20190725,-0.006082633841406837,2019-04-24
1043729.9086893316,20190726,-0.0005576350391645057,2019-04-25
1043729.9086893316,20190729,0.0,2019-04-26
1043729.9086893316,20190730,0.0,2019-04-29
1043729.9086893316,20190731,0.0,2019-04-30
1043729.9086893316,20190801,0.0,2019-05-01
1045238.8655603158,20190802,0.0014457350109655653,2019-05-02
1045028.9900006936,20190805,-0.00020079195917543924,2019-05-03
1045028.9900006936,20190806,0.0,2019-05-06
1044549.9768160464,20190807,-0.0004583731066128971,2019-05-07
1000000.0,20190808,-0.04264992370383447,2019-05-08
1000260.5189200477,20190809,0.00026051892004774757,2019-05-09
989030.4446615421,20190812,-0.011227149373675527,2019-05-10
994490.1009266705,20190813,0.005520210519906366,2019-05-13
999123.3005833556,20190814,0.004658869557744083,2019-05-14
1012396.5927929573,20190815,0.013284939107967908,2019-05-15
1010232.0614584524,20190816,-0.002138027083372074,2019-05-16
1004228.6541913135,20190819,-0.0059426021962437625,2019-05-17
1011775.2337796821,20190820,0.007514802089017891,2019-05-20
1007309.4482941986,20190821,-0.0044138118194498865,2019-05-21
999329.2658749091,20190822,-0.007922274960096232,2019-05-22
1002787.8728691628,20190823,0.003460928357007287,2019-05-23
994115.8311402107,20190826,-0.008647932392859659,2019-05-24
986200.4449100848,20190827,-0.007962237379367854,2019-05-28
986879.4233198912,20190828,0.0006884791152861336,2019-05-29
970510.2152762387,20190829,-0.016586836909200042,2019-05-30
976157.473360818,20190830,0.005818854861792344,2019-05-31
999959.781720051,20190903,0.024383676823457545,2019-06-03
1008375.3660099736,20190904,0.008415922763860273,2019-06-04
1015772.4403645952,20190905,0.007335635720546074,2019-06-05
1024091.2921603564,20190906,0.008189680547717293,2019-06-06
1029030.4745454972,20190909,0.004822990316343256,2019-06-07
1031632.0250543619,20190910,0.002528156913927937,2019-06-10
1028662.0560824338,20190911,-0.00287890342660857,2019-06-11
1035606.1495087905,20190912,0.006750607145754595,2019-06-12
1034931.1664753305,20190913,-0.0006517758066424406,2019-06-13
1035342.3625994036,20190916,0.00039731736505088655,2019-06-14
1044808.3184574336,20190917,0.009142826759511724,2019-06-17
1048302.1445122184,20190918,0.0033439875937657515,2019-06-18
1057739.7096554376,20190919,0.009002714716004556,2019-06-19
1056934.7939339564,20190920,-0.0007609771233259011,2019-06-20
1055397.7887657206,20190923,-0.001454210020388369,2019-06-21
1047013.1660019645,20190924,-0.007944514241935097,2019-06-24
1043952.4427506981,20190925,-0.0029232901272424616,2019-06-25
1046654.0166075706,20190926,0.0025878323056116592,2019-06-26
1051323.3830670512,20190927,0.0044612320646464365,2019-06-27
1061267.618720356,20190930,0.009458779109710491,2019-06-28
1065906.3496303444,20191001,0.004370934181127328,2019-07-01
1075582.1217269779,20191002,0.009077506762192655,2019-07-02
1072523.220309864,20191003,-0.0028439496671833764,2019-07-03
1066428.8959769784,20191004,-0.005682230666413823,2019-07-05
1064885.4502539712,20191007,-0.0014473029836585827,2019-07-08
1065665.9585602838,20191008,0.000732950484135575,2019-07-09
1068571.9569950292,20191009,0.0027269318414482324,2019-07-10
1074599.7722251932,20191010,0.005641000768085824,2019-07-11
1077168.5203015937,20191011,0.002390423060560698,2019-07-12
